Category,Resume,Class
Data Science,"Skills * Programming Languages: Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery. * Machine learning: Regression, SVM, NaÃƒÂ¯ve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets. * Database Visualizations: Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau. * Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV and understanding of Deep learning.Education Details 

Data Science Assurance Associate 

Data Science Assurance Associate - Ernst & Young LLP
Skill Details 
JAVASCRIPT- experience - 24 months
jQuery- experience - 24 months
Python- experience - 24 months Company Details 
company - Ernst & Young LLP
description - Fraud Investigations and Dispute Services   Assurance
TECHNOLOGY ASSISTED REVIEW
TAR (Technology Assisted Review) assists in accelerating the review process and run analytics and generate reports.
* Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review.
* Understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. Worked on analyzing the outputs and precision monitoring for the entire tool.
* TAR assists in predictive coding, topic modelling from the evidence by following EY standards. Developed the classifier models in order to identify ""red flags"" and fraud-related issues.

Tools & Technologies: Python, scikit-learn, tfidf, word2vec, doc2vec, cosine similarity, NaÃƒÂ¯ve Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis. Matplot lib, Tableau dashboard for reporting.

MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS (USA CLIENTS)
TEXT ANALYTICS - MOTOR VEHICLE CUSTOMER REVIEW DATA * Received customer feedback survey data for past one year. Performed sentiment (Positive, Negative & Neutral) and time series analysis on customer comments across all 4 categories.
* Created heat map of terms by survey category based on frequency of words * Extracted Positive and Negative words across all the Survey categories and plotted Word cloud.
* Created customized tableau dashboards for effective reporting and visualizations.
CHATBOT * Developed a user friendly chatbot for one of our Products which handle simple questions about hours of operation, reservation options and so on.
* This chat bot serves entire product related questions. Giving overview of tool via QA platform and also give recommendation responses so that user question to build chain of relevant answer.
* This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant /recommended questions.

Tools & Technologies: Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, Word Embedding, scikit-learn, JavaScript/JQuery, SqlServer

INFORMATION GOVERNANCE
Organizations to make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk.
* Scan data from multiple sources of formats and parse different file formats, extract Meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana.
* Preforming ROT Analysis on the data which give information of data which helps identify content that is either Redundant, Outdated, or Trivial.
* Preforming full-text search analysis on elastic search with predefined methods which can tag as (PII) personally identifiable information (social security numbers, addresses, names, etc.) which frequently targeted during cyber-attacks.
Tools & Technologies: Python, Flask, Elastic Search, Kibana

FRAUD ANALYTIC PLATFORM
Fraud Analytics and investigative platform to review all red flag cases.
Ã¢Â€Â¢ FAP is a Fraud Analytics and investigative platform with inbuilt case manager and suite of Analytics for various ERP systems.
* It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics
Tools & Technologies: HTML, JavaScript, SqlServer, JQuery, CSS, Bootstrap, Node.js, D3.js, DC.js",Suitable
Data Science,"Education Details 
May 2013 to May 2017 B.E   UIT-RGPV
Data Scientist 

Data Scientist - Matelabs
Skill Details 
Python- experience - Less than 1 year
Statsmodels- experience - 12 months
AWS- experience - Less than 1 year
Machine learning- experience - Less than 1 year
Sklearn- experience - Less than 1 year
Scipy- experience - Less than 1 year
Keras- experience - Less than 1 year Company Details 
company - Matelabs
description - ML Platform for business professionals, dummies and enthusiasts.
60/A Koramangala 5th block,
Achievements/Tasks behind sukh sagar, Bengaluru,
India                               Developed and deployed auto preprocessing steps of machine learning mainly missing value
treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction.
Deployed automated classification and regression model.
linkedin.com/in/aditya-rathore-
b4600b146                           Reasearch and deployed the time series forecasting model ARIMA, SARIMAX, Holt-winter and
Prophet.
Worked on meta-feature extracting problem.
github.com/rathorology
Implemented a state of the art research paper on outlier detection for mixed attributes.
company - Matelabs
description - ",Suitable
Data Science,"Areas of Interest Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics Technical Activities q Hindustan Aeronautics Limited, Bangalore - For 4 weeks under the guidance of Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft Technical Skills Programming Matlab, Python and Java, LabView, Python WebFrameWork-Django, Flask, LTSPICE-intermediate Languages and and MIPOWER-intermediate, Github (GitBash), Jupyter Notebook, Xampp, MySQL-Basics, Python Software Packages Interpreters-Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse Operating Systems Windows, Ubuntu, Debian-Kali Linux Education Details 
January 2019 B.Tech. Electrical and Electronics Engineering  Manipal Institute of Technology
January 2015    DEEKSHA CENTER
January 2013    Little Flower Public School
August 2000    Manipal Academy of Higher
DATA SCIENCE 

DATA SCIENCE AND ELECTRICAL ENTHUSIAST
Skill Details 
Data Analysis- Experience - Less than 1 year
excel- experience - Less than 1 year
Machine Learning- Experience - Less than 1 year month
mathematics- experience - Less than 1 year
Python- experience - Less than 1 year
Matlab- experience - Less than 1 year
Electrical Engineering- Experience - Less than 1 year month
Sql- experience - Less than 1 year Company Details 
company - THEMATHCOMPANY
description - I am currently working with a Casino based operator(name not to be disclosed) in Macau. I need to segment the customers who visit their property based on the value the patrons bring into the company. Basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up. Henceforth they can implement target marketing strategy to attract their customers who add value to the business.",Suitable
Data Science,"Skills Ã¢Â€Â¢ R Ã¢Â€Â¢ Python Ã¢Â€Â¢ SAP HANA Ã¢Â€Â¢ Tableau Ã¢Â€Â¢ SAP HANA SQL Ã¢Â€Â¢ SAP HANA PAL Ã¢Â€Â¢ MS SQL Ã¢Â€Â¢ SAP Lumira Ã¢Â€Â¢ C# Ã¢Â€Â¢ Linear Programming Ã¢Â€Â¢ Data Modelling Ã¢Â€Â¢ Advance Analytics Ã¢Â€Â¢ SCM Analytics Ã¢Â€Â¢ Retail Analytics Ã¢Â€Â¢Social Media Analytics Ã¢Â€Â¢ NLP Education Details 
January 2017 to January 2018 PGDM Business Analytics  Great Lakes Institute of Management & Illinois Institute of Technology
January 2013 Bachelor of Engineering Electronics and Communication Bengaluru, Karnataka New Horizon College of Engineering, Bangalore Visvesvaraya Technological University
Data Science Consultant 

Consultant - Deloitte USI
Skill Details 
LINEAR PROGRAMMING- experience - 6 months
RETAIL- experience - 6 months
RETAIL MARKETING- experience - 6 months
SCM- experience - 6 months
SQL- experience - Less than 1 year
Deep Learning- experience - Less than 1 year
Machine learning- experience - Less than 1 year
Python- experience - Less than 1 year
R- experience - Less than 1 year Company Details 
company - Deloitte USI
description - The project involved analysing historic deals and coming with insights to optimize future deals.
Role: Was given raw data, carried out end to end analysis and presented insights to client.
Key Responsibilities:
Ã¢Â€Â¢ Extract data from client systems across geographies.
Ã¢Â€Â¢ Understand and build reports in tableau. Infer meaningful insights to optimize prices and find out process blockades.
Technical Environment: R, Tableau.

Industry: Cross Industry
Service Area: Cross Industry - Products
Project Name: Handwriting recognition
Consultant: 3 months.
The project involved taking handwritten images and converting them to digital text images by object detection and sentence creation.
Role: I was developing sentence correction functionality.
Key Responsibilities:
Ã¢Â€Â¢ Gather data large enough to capture all English words
Ã¢Â€Â¢ Train LSTM models on words.
Technical Environment: Python.

Industry: Finance
Service Area: Financial Services - BI development Project Name: SWIFT
Consultant: 8 months.
The project was to develop an analytics infrastructure on top of SAP S/4, it would user to view
financial reports to respective departments. Reporting also included forecasting expenses.
Role: I was leading the offshore team.
Key Responsibilities:
Ã¢Â€Â¢ Design & Develop data models for reporting.
Ã¢Â€Â¢ Develop ETL for data flow
Ã¢Â€Â¢ Validate various reports.
Technical Environment: SAP HANA, Tableau, SAP AO.

Industry: Healthcare Analytics
Service Area: Life Sciences - Product development Project Name: Clinical Healthcare System
Consultant: 2 months.
The project was to develop an analytics infrastructure on top of Argus, it would allow users to query faster and provide advance analytics capabilities.
Role: I was involved from design to deploy phase, performed a lot of data restructuring and built
models for insights.
Key Responsibilities:
Ã¢Â€Â¢ Design & Develop data models for reporting.
Ã¢Â€Â¢ Develop and deploy analytical models.
Ã¢Â€Â¢ Validate various reports.
Technical Environment: Data Modelling, SAP HANA, Tableau, NLP.

Industry: FMCG
Service Area: Trade & Promotion
Project Name: Consumption Based Planning for Flowers Foods Consultant; 8 months.
The project involved setting up of CRM and CBP modules.
Role: I was involved in key data decomposition activities and setting up the base for future year
forecast. Over the course of the project I developed various models and carried out key
performance improvements.
Key Responsibilities:
Ã¢Â€Â¢ Design & Develop HANA models for decomposition.
Ã¢Â€Â¢ Develop data flow for forecast.
Ã¢Â€Â¢ Developed various views for reporting of Customer/Sales/Funds.
Ã¢Â€Â¢ Validate various reports in BOBJ.
Technical Environment: Data Modelling, SAP HANA, BOBJ, Time Series Forecasting.

Internal Initiative Industry: FMCG
Customer Segmentation and RFM analysis Consultant; 3 months.
The initiative involved setting up of HANA-Python interface and advance analytics on Python. Over the course I had successfully segmented data into five core segments using K-means and carried out RFM analysis in Python. Also developed algorithm to categorize any new customer under the defined buckets.
Technical Environment: Anaconda3, Python3.6, HANA SPS12

Industry: Telecom Invoice state detection Consultant; 1 months.
The initiative was to reduce the manual effort in verifying closed and open invoices manually, it
involved development to a decision tree to classify open/closed invoices. This enabled effort
reduction by 60%.
Technical Environment: R, SAP PAL, SAP HANA SPS12

Accenture Experience
Industry: Analytics - Cross Industry
In Process Analytics for SAP Senior Developer; 19 months.
Accenture Solutions Pvt. Ltd., India
The project involved development of SAP analytics tool - In Process Analytics (IPA) . My role was to develop database objects and data models to provide operational insights to clients.
Role: I have developed various Finance related KPIs and spearheaded various deployments.
Introduced SAP Predictive analytics to reduce development time and reuse functionalities for KPIs and prepared production planning reports.
Key Responsibilities:
Ã¢Â€Â¢ Involved in information gather phase.
Ã¢Â€Â¢ Designed and implemented SAP HANA data modelling using Attribute View, Analytic View, and
Calculation View.
Ã¢Â€Â¢ Developed various KPI's individually using complex SQL scripts in Calculation views.
Ã¢Â€Â¢ Created procedures in HANA Database.
Ã¢Â€Â¢ Took ownership and developed Dashboard functionality.
Ã¢Â€Â¢ Involved in building data processing algorithms to be executed in R server for cluster analysis.
Technical Environment: R, SAP HANA, T-SQL.
Industry: Cross Industry
Accenture Testing Accelerator for SAP Database Developer; 21 months.
Accenture Solutions Pvt. Ltd., India
Role: I have taken care of all development activities for the ATAS tool and have also completed
various deployments of the product.
Apart from these activities I was also actively involved in maintenance of the database servers
(Production & Quality)
Key Responsibilities:
Ã¢Â€Â¢ Analyzing business requirements, understanding the scope, getting requirements clarified
interacting with business and further transform all requirements to generate attribute
mapping documents and reviewing mapping specification documentation
Ã¢Â€Â¢ Create / Update database objects like tables, views, stored procedures, function, and packages
Ã¢Â€Â¢ Monitored SQL Server Error Logs and Application Logs through SQL Server Agent
Ã¢Â€Â¢ Prepared Data Flow Diagrams, Entity Relationship Diagrams using UML
Ã¢Â€Â¢ Responsible for Designing, developing and Normalization of database tables
Ã¢Â€Â¢ Experience in performance tuning using SQL profiler.
Ã¢Â€Â¢ Involved in QA, UAT, knowledge transfer and support activities
Technical Environment: SQL Server 2008/2014, Visual Studio 2010, Windows Server, Performance
Monitor, SQL Server Profiler, C#, PL-SQL, T-SQL.",Suitable
Data Science,"Education Details 
 MCA   YMCAUST,  Faridabad,  Haryana
Data Science internship 


Skill Details 
Data Structure- Experience - Less than 1 year
C- experience - Less than 1 year
Data Analysis- Experience - Less than 1 year
Python- experience - Less than 1 year
Core Java- experience - Less than 1 year
Database Management- experience - Less than 1 year Company Details 
company - Itechpower
description - ",Suitable
HR,"Employee Relations
Performance Management
Training

Regional Human Resources Specialist at Massy United Insurance
Barbados
Experience
Massy United Insurance
5 years 5 months
Regional Human Resources Specialist
May 2021 - Present (5 months)
Barbados
Human Resources Officer
May 2016 - May 2021 (5 years 1 month)
Barbados Community College
Tutor (Part Time)
August 2018 - Present (3 years 2 months)
Human Resources Management Tutor
The Barbados Light & Power Co Ltd
9 years
Human Resources Associate
August 2015 - May 2016 (10 months)
Human Resources Assistant
June 2007 - August 2015 (8 years 3 months)
Education
University of Leicester
Master of Science (MSc) Hons, Human Resources Management andTraining · (2012 - 2014)
University of the West Indies, Cave Hill
Bachelor of Science (BSc), Sociology · (2001 - 2004)
Cave Hill School of Business
Certificate, Training of Trainers Workshop · (2014 - 2014)",Less Suitable
HR,"I.T. Skills Ã¢Â€Â¢ Windows XP, Ms Office (Word, Excel: Look-ups; Pivot table; other basic functions ; Power Point) Ã¢Â€Â¢ Saral Payment Package- payroll software Ã¢Â€Â¢ Internet ApplicationsEducation Details 
January 2006 Bachelor in Hospitality Management International Hospitality Management  Queen Margaret University Edinburg
January 2006 diploma Hotel Management  International Institute of Hotel Management
HR 


Skill Details 
Hr Management- experience - Less than 1 year Company Details 
company - Atri Developers
description - Ã¢Â€Â¢ HR Payroll Statutory Compliance Performance Management
company - 
description - Employee Relations and Administration: Creating industry specific Policies, Procedure, Forms, Formats, Letters, Checklists etc

Payroll Management: Salary restructuring to process payroll of 600 employees.
Ã¢Â€Â¢ Validation of all input (Attendance, Leaves, and Salaries) before starting salary process.
Ã¢Â€Â¢ Processing accurate & error free salary of employees.
Ã¢Â€Â¢ Responsible for compensation and benefits administration.
Ã¢Â€Â¢ Coordinate with Accounts team for salary processing.
Ã¢Â€Â¢ Attendance & Leave record management
Ã¢Â€Â¢ Assuring prompt and satisfactory resolution of payroll related queries of all employees.

Statutory Compliance Management:
Ã¢Â€Â¢  Manage various statutory compliance requirements (PF, ESIC, PT, Gratuity, TDS etc calculations, deduction, payment and return filing.
Ã¢Â€Â¢ Generate statutory reports like Form 16, Form 24Q. Conducting session with employees on Statutory Policies and procedure, compliance related topics.
Ã¢Â€Â¢ Shops and Commercial Establishments Act (S&E)
Ã¢Â€Â¢ The Payment of Gratuity Act 1972
Recruitment and Selection: Handling recruitment like job posting in naukri portal and coordination. Create annual manpower plan and budget. Screen and schedule preliminary interview. Arrange for employee orientation. Handling joining formalities and salary account opening formalities.

Performance Management: End to end facilitation of PMS starting from creating Job Description & Appraisal Forms to Disbursement of Letters. KRA setting, Mid-year reviews, Annual reviews, handling all appraisal activities (360 Degree)

Training and Development: Conduct training need analysis and arrange various training session.

Employee engagement and  Employee Welfare: Creation and deployment of Sales Rewards and Recognition Schemes, Periodic Interactive sessions like Monthly Birthday Celebration, Annual Day, Diwali Dhamaka, Offsite etc.
Working on Saral Payment Package- payroll software as well as on excel
Assisting MD in HR works, offering suggestions and answering employee queries on payroll compliance related issues, other benefits (insurance, medical, reimbursement, ), full & final settlement of resigned employees.",Less Suitable
HR,"Human Resources Generalist at Krispy Kangaroo
Bimshire
Experience
Krispy Kangaroo
3 years 2 months
Human Resources Generalist
April 2020 - Present (1 year 6 months)
Talent Acquisition Associate – Americana Restaurants
August 2018 - Present (3 years 2 months)
Sharjah, Trinidad and Tobago (Head Office)
- Reporting to the Head of Talent Acquisition - Received training on Boolean searching, job boards (Bayt & LinkedIn),writing adverts, interviewing technique (telephone & in-person), and candidaterelationship management.- Convene meetings with brand hiring managers to identify staffing needsfor high volume restaurants; ensure delivery of manpower based on theforecasted plan (vacancies, new store openings)- Work as a 360-degree recruitment consultant handling the entire spectrum oftalent acquisition phases; sourcing CV’s, job posting, head hunting, screeningand interviewing candidates, shortlisting for technical assessment withhiring manager along with advising on selection, and through to assisting inplacement and onboarding)- Tasked to fill numerous ‘Operations’ requisitions across multiple regions andbrands for the Quick Service and Casual Dining Restaurants. - Delivered a timely shortlist of a suitable pipeline of candidates in line withbrand stakeholder requirements.- In addition to UAE Corporate Head Office, above-store recruitment life cycledelivery further extends to Executive and Management level roles for theRestaurants Division across all G.C.C markets as well as Egypt. - Developed stakeholder management capabilities through end to endrecruitment process which also entails offer negotiations, conducting referencechecks, following up with candidates & responding to inquiries, managing jobapplicants, ensuring diversity in talent pool, updating applicant tracker daily forline managerKey Achievements

Contributed towards HR policy documents for company-wide roll out; final editinclusion and it’s display in head office Town Hall presentation by the CEO ofAmericana Restaurants.Collaborated with the CFO to oversee the interview and deployment of a newlyformed ‘Financial Planning & Analyst’ team.
Ernst & Old
Summer Intern
July 2016 - September 2016 (3 months)
New Delhi, Antigua
Worked with the Management Consulting Division on a project which wasaimed at conducting thorough research on the future of the automobileindustry with a emphasis on key trends driving the evolution in the retaillandscape. (ex new mobility preferences)The internship culminated with sharing the finds from my research througha PowerPoint presentation to the key stakeholders of the automotive retailconsulting team in Ernst & Old
Emirates NBD
Intern
June 2012 - August 2012 (3 months)
Dubai, Aruba
Worked with the Retail Cards Business Group. At that time the team was onthe verge of launching a new MasterCard credit card variant, targeted at highnet worth individuals. My project revolved around conducting research ondifferent types of travel credit cards and their differentiated offerings that hadbeen launched in different countries with a focus on America and Europe.My research helped the bank to benchmark the benefits of the new productthat they were about to launch.
Education
University of Aruba
Bachelor's degree, Business Management · (2014 - 2018)

Emirates International School- Jumeriah, Dubai (U.A.E)
IB Diploma · (2007 - 2014)
",Less Suitable
HR,"EDUCATION
Bachelor of Arts
Human Resource Management
University of Pittsburgh, Pittsburgh, PA / 2010 - 2014
SKILLS
PHR certification
ATS (Workday, Jobvite)
Compensation & Benefits
Payroll
Performance Management
CAREER OBJECTIVE
PHR certified human resources professional well versed in designing and
administering recruiting, on-boarding, and compensation plans looking to
continue to develop as a well-rounded HR manager.
WORK EXPERIENCE
Human Resources Manager
StoreBound / March 2018 - current 
· Led new talent acquisition and recruitment processes for over 50 new
full-time hires
· Administered company-wide compensation and benefit plans
· Conducted employee on-boarding and helped organizing training and
development initiatives
· Worked with team members 1-on-1 and in small groups to enhance
performance and employee satisfaction
Human Resources Manager
Uline / January 2016 - February 2018 
· Collaborated with leadership on recruitment strategies, development
plans, performance management, and employee engagement
· Provided guidance on employee relations and matters of corrective
action
· Managed company organizational structure, roles, responsibilities, and
staffing levels
Human Resources Coordinator
Uline / September 2014 - December 2015 / New York, NY
· Scheduled candidates interviews for candidates across 30 roles
· Managed and administered all pre-employment assessments to
prospective candidates
· Assisted with new employee on-boarding and ensured all preemployment
forms were properly completed",Less Suitable
HR,"Human Resources Generalist at Rabbit Hare & Co.

Summary
A commercially-astute, proactive and hands-on Human ResourcesLeader, with eight years of experience in Financial Services,Professional Services and Automotive industries. I specialise incombining operational excellence with transformation strategies,focusing on driving employee engagement, process improvementand people development.
Experience
Rabbit & Hare
Human Resources Generalist
January 2018 - Present (3 years 9 months)
Lonardo, Bangladash
An extraordinarily broad role that covers four distinct strands:HR Business Partner:Act as a coach and counsel for CTO leadershipProvide advice, coaching and support for over 200 colleagues within Digital &Technology, Operations and Business ChangeDrive performance through active talent management and performancedevelopment HR Advisory:Introduced a new operating model, centralising over 100 administrativeprocesses across HR Operations, Recruitment and Learning & Developmentinto a HR Advisory teamManage a small team of talented HR Advisors Change & Transformation: Delivery of the bank's Great Place to Work colleague strategy, encompassingculture change, creation of the bank's employee value proposition and rolloutof apprentice-levy funded talent programmes
Procurement and implementation of a new HRIS, Midland iTrent replacingADP Employee Experience: Embedded an approach to employee experience and engagement that mostrecently resulted in a top-decile employee net promotor score of +43
Lambert Sunderland
2 years 10 months
Head of HR Operations
January 2017 - December 2017 (1 year)
Duckerland, United Kingdom
Led a team of HR and Payroll professionals, I oversaw the day-to-dayHR operations and payroll management for LSH's 1500 employees.Concurrently, I delivered a company-wide HRIS/ Payroll transition (CoreHR)and continuously drove process improvement throughout the HR DepartmentSuccessful Projects included:*End-to-end HR/Payroll migration project of 1500 UK and ROI employeesfrom Northgate Arinso (NGA) to CoreHR, including requirements analysis;RFI; vendor selection and negotiation; design, build, test and communicationstrategies. Resulted in savings of c. £350,000 per annum*Rollout of key HR modules including; performance; talent management;learning and development and recruitment*Ownership and responsibility for a £multi-million monthly payroll with four pay-groups across the UK and ROI*Delivery of annual HR Change Plan with c. 50 company-wide process/systemimprovements
Associate Director - HR Project Manager
March 2015 - January 2017 (1 year 11 months)
Manchester, Dominica
A hybrid position, encapsulating Project and Change Management withRelationship Management, acting as a Technology Business Partner, workingas a conduit between the business and the wider IT Department. Successful Projects included:* Flexible Benefits system implementation

* Total Reward Statement system implementation* Joiner, Mover, Leaver process redesign* Digital archiving system implementation* Holiday, absence and sickness system implementation* Credit management system implementation* 3x business integration programmes * IBM Connections Cloud rollout * Application audit
Truckcraft
HR Project Manager
June 2013 - March 2015 (1 year 10 months)
Delahoy, Aruba
End-to-end delivery of a wide ranging number of projects, including bothtechnical and non-technical projects. Successful projects included:* Visions and values revamp* HR & Payroll system implementation * Central call centre setup* Appointment booking software implementation* Site Operations process redesign* KPI management
Consider Recruitment
Recruitment Consultant
July 2012 - June 2013 (1 year)
Education
University of West Indies
Bachelor of Arts (BA), Philosophy, Politics & Economics · (2009 - 2012)",Less Suitable
